Titel,Samenvatting,Locatie,Datum,Link
Dijkenplan moet Zoutleeuw beschermen tegen overstromingen,“12 jaar geleden zijn we als buurtcomité naar buiten getreden na de overstromingen in 2011” zegt buurtbewoner Willy Loozen Het actiecomité heeft een groot aandeel gehad in de opgemaakte plannen “Intussen zijn er nog 2 zware overstromingen geweest waaronder de ergste in 2021 Heel wat huizen stonden toen compleet onder water” Het plan had heel wat voeten in de aarde “De VMM kwam met de oplossing om dijken te plaatsen achter de woningen” zegt hij “Maar daardoor zou het water op de gronden van de inwoners komen te staan en dan zouden hun huizen opnieuw onder water komen te staan bij hevige regen” Intensief overleg Burgemeester Guy Dumst CD&V is aan de slag gegaan met de bezorgdheden “Toen ik net burgemeester was kwam het actiecomité aankloppen” zegt hij “Na anderhalf jaar intensief overleg zijn we nu tot een gedragen dijkenplan gekomen Na onderhandelingen heeft de VMM toegezegd om het project in 2 fasen uit te voeren eerst de werken vóór de spoorweg en daarna de bouw van de dijken” Dijken en grachten Het plan stelt een buitengracht een dijk en een binnengracht voor “Het water dat binnen de dijken valt komt in de binnengrachten en dat wordt via permanente pompen over de dijk gepompt” zegt Loozen “Zo gaat het terug de Vloedgracht of de Gete in” En daar blijft het niet bij “We gaan sluizen plaatsen waar het nodig is” zegt schepen Raf Lambeets CD&V “Daarna gaan we de bestaande grachten openmaken door het slib te verwijderen Dat hebben we al gedaan onder de Stationsstraat Tenslotte gaan we het pomphuis aan de Budingenweg vernieuwen” ,Zoutleeuw,2024-10-09,https://www.vrt.be/vrtnws/nl/2024/10/09/dijkenplan-moet-zoutleeuw-beschermen-tegen-overstromingen/
Langdurige regenval heeft dan toch geen wateroverlast veroorzaakt in Voeren en Zuid-Limburg,"De weersvoorspellingen beloofden gisteravond niet veel goeds voor Voeren er werd alweer voor overstromingen gevreesd Maar uiteindelijk is het deze keer beter meegevallen dan verwacht en bleef het peil van zowel de Voer als de Berwijn onder het alarmpeil De beken zijn deze keer dus niet overstroomd Burgemeester Joris Gaens Voerbelangen ""De brandweer is de hele nacht stand-by gebleven De piek van de rivieren is tussen 2 en 3 uur bereikt en sindsdien is het peil weer aan het dalen Het ziet er dus goed uit er is geen wateroverlast geweest en ook voor de komende uren kunnen we stellen dat die niet meer komt"" In Moelingen helpen buurtbewoners elkaar bij het vullen van zandzakken Foto VRTNWS Er waren gisteren wel volop maatregelen getroffen op kritieke plaatsen werden dijken gelegd en de inwoners konden zandzakjes komen vullen Joris Gaens ""Die tijdelijke dijken hebben zeker hun nut gehad want de Berwijn heeft heel hoog gestaan Ook de verbreding van de rivier heeft nu zijn nut bewezen"" 20-tal oproepen voor de brandweerkorpsen Gemeenteraadsverkiezingen Wateroverlast toerisme én behoud van het landelijke karakter hierover gaan de verkiezingen in Voeren ma 30 sep 0600 De brandweerkorpsen in vooral Zuid- en Oost-Limburg kregen afgelopen nacht een 20-tal meldingen voor ondergelopen kelders en straten onder meer in Bilzen Riemst Tongeren en Sint-Truiden De wachtbekkens in Tongeren zijn ook aan het vollopen ","['Voeren', 'Zuid-Limburg']",2024-10-10,https://www.vrt.be/vrtnws/nl/2024/10/10/langdurige-regenval-heeft-dan-toch-geen-wateroverlast-veroorzaak/
"Bouwgronden in Merchtem ingekleurd als overstromingsgevoelig gebied, eigenaars krijgen vergoeding","""Er was al een verbod om te bouwen in de Reedijk en de Puursstraat in Merchtem"" zegt schepen van Openbare Werken Lien Casier CD&V Plus ""maar dat kon nog niet afgedwongen worden zolang de Vlaamse Overheid dit gebied niet had omgezet in een WORG een watergevoelig openruimtegebied Dat houdt nu ook in dat de eigenaars een vergoeding kunnen vragen"" ""Het bepalen van het juiste bedrag van de vergoeding heeft ons als gemeente ertoe aangezet om het gebied niet zelf te herbestemmen ook al hadden we die mogelijkheid Maar dan zou de compensatie door de gemeente betaald moeten worden Dat risico wilden we niet nemen omdat men niet op voorhand kan zeggen hoe hoog het bedrag van de compensatie zal zijn"" vervolgt de schepen ""Dat hangt af van verschillende factoren ligt een perceel aan de uitgeruste weg is het een heel breed perceel of is het een smal perceel dat ook moeilijk bebouwbaar is Dergelijke zaken moeten perceel per perceel worden afgewogen wat de mogelijkheden zijn"" Toekomstige plannen ""Er zal daar dus niet meer gebouwd kunnen worden Dat is ook van toepassing op de straten terrassen en tuinhuizen want dat leidde tot een te hoge verhardingsgraad Wat wel nog zal kunnen is meer natuur of het plan van de provincie om er een vistrap te plaatsen voor onze beek Maar ook projecten zoals onze parking of doorsteken voor fietsers en voetgangers zijn nog een optie"" besluit Lien Casier ",Merchtem,2024-10-01,https://www.vrt.be/vrtnws/nl/2024/10/01/eigenaars-van-gronden-in-overstromingsgevoelig-gebied-in-merchte/
"Buren starten actiecomité tegen overstromingen in Teralfene: ""Onbegrijpelijk dat er hier nog nieuwe huizen bijkomen""","Bij de overstromingen in januari van dit jaar stond ook het huis van Kurt Vanderhaeghe in Teralfene onder water Hij besloot zijn buren aan te schrijven om zich te verenigen in een actiecomité ""Ik heb toen 88 brieven op de bus gedaan en daar hebben toch 36 buren positief op gereageerd We zijn nu voor het eerst samengekomen Gelukkig niet in mijn huiskamer want we zijn met meer dan 30"" Samen met zijn buren wil Kurt nu de overstromingen evalueren ""Iedereen heeft zijn eigen verhaal Wat is er gebeurd Wat is er foutgelopen Wat kunnen we zelf doen Denk aan een voorraad zandzakjes aanleggen Of de gracht achter de huizen samen met enkele buren baggeren zodat die niet zo snel overloopt Zo hebben we heel wat ideeën verzameld"" Sommige straten zijn overstromingsgebied geworden Maar toch worden er nog huizen bijgebouwd Kurt Vanderhaeghe actiecomité Wateroverlast Veel waterellende in Teralfene burgemeester De Donder kritisch ""Bij vergunningen nooit rekening gehouden met overst do 04 jan 0850 Niet alleen willen de inwoners zelf actie ondernemen ze verwachten ook maatregelen van het gemeentebestuur ""Het is onbegrijpelijk dat er nog altijd huizen worden gebouwd in overstromingsgevoelig gebied Daarom willen we onze stem laten horen Niet om te klagen maar om nuttige suggesties te doen en als het moet ook zelf de handen uit de mouwen te steken"" ",Teralfene,2024-10-01,https://www.vrt.be/vrtnws/nl/2024/10/01/buren-starten-comite-op-tegen-overstromingen-in-teralfene/
Herinrichting natuurgebied Elerweerd in Dilsen-Stokkem komt in stroomversnelling,"In 2019 werd de vergunning afgeleverd voor de ontginning van de Elerweerd Dat is een natuurgebied van 170 hectare op de grens van Dilsen-Stokkem en Maaseik Dat toekomstige natuurgebied zou een oplossing moeten bieden voor de verdroging en de wateroverlast De Maas krijgt er meer ruimte om te overstromen en landbouwers zullen hun velden in perioden van droogte kunnen beregenen met water uit een grindplas Op dit moment is er voldoende ontgonnen oppervlakte om de werkzaamheden naar een volgende fase te tillen Met de dekgronden die in het gebied aanwezig zijn werd al 9 hectare aangevuld Maar dat is natuurlijk niet voldoende om een gebied van 170 hectare op te vullen Daarom wordt er de komende jaren miljoenen kubieke meter vulzand uit de nabijgelegen Meerheuvelplas verpompt naar de Elerweerd Zandzuiger brengt werken in stroomversnelling Om die klus te klaren wordt een zandzuiger ingezet Die machine zal de komende jaren 55 miljoen kubieke meter zand uit de plas pompen ""Dat is zon 500000 kubieke meter per jaar"" zegt Frank Liebens van het ontginningsbedrijf Steengoed Projecten ""De zandzuiger verpompt een mengsel van zand en water zodat er een grote massa van dat mengsel naar de Elerweerd wordt overgebracht"" ""De Meerheuvelplas is daar geschikt voor omdat die gevuld wordt door uittredend grondwater zodat het waterpeil van de plas altijd in evenwicht blijft Al wordt de plas wel dieper op sommige plaatsen is ze zelfs al 30 meter diep Als we klaar zijn zal de plas zon 40 meter diep zijn"" De zandzuiger verpompt een mengsel van zand en water Foto Matty Maes Eens dat mengsel van zand en water aangekomen is in de Elerweerd wordt het zand verspreid ""Het mengsel wordt in de plas geloosd Het zand komt dan boven water en dat wordt dan op de juiste plekken verspreid met een bulldozer Het natuurgebied zal op een lager niveau liggen zodat het regelmatig kan overstromen door de Maas Daar kan dan specifieke vegetatie groeien zodat er een dynamische riviernatuur ontstaat"" zegt Liebens nog De zandzuiger zal zon 12 jaar nodig hebben om het gebied volledig aan te vullen ",Dilsen-Stokkem,2024-10-02,https://www.vrt.be/vrtnws/nl/2024/10/02/herinrichting-toekomstig-natuurgebied-elerweerd-in-dilsen-stokke/
"Dendermonde, Aalst en Lebbeke maken samen plan om wateroverlast in Dendervallei aan te pakken: ""Wateroverlast stopt niet aan de gemeentegrenzen""","De bedoeling is om het openruimtegebied tussen Aalst Lebbeke en Dendermonde voor te bereiden op klimaatverandering en wateroverlast in te perken ""Op de linkeroever van de Dender is er bij hoge waterstanden vaak wateroverlast"" vertelt burgemeester van Dendermonde Leen Dierick CD&V ""Op die momenten kan het water onvoldoende worden opgehouden en gebufferd Bovendien kunnen een aantal beken niet voldoende afwateren"" ""Wateroverlast stopt niet aan de gemeentegrenzen"" zegt gedeputeerde van de provincie Oost-Vlaanderen An Vervliet ""Dit probleem vraagt een gediversifieerde aanpak Dat kan je alleen doen wanneer alle betrokken partners hetzelfde verhaal schrijven"" verduidelijkt ze Plan van aanpak De gemeentebesturen maken samen met de provincie een masterplan op De oplossing zal een combinatie van verschillende maatregelen zijn ""Op bepaalde plekken moeten we ruimte creëren voor water en op andere plaatsen zullen we water moeten weren"" legt Vervliet uit De provincie Oost-Vlaanderen zal het project nu opstarten Vanaf 2026 willen ze het plan stap voor stap in realiteit omzetten ""Mochten we in Lebbeke een waterbom krijgen zoals in Wallonië dan staat het volledige centrum onder Door dit masterplan zal de samenwerking worden bespoedigd en dat is cruciaal” zegt burgemeester Jan Vanderstraeten CD&V ","['Dendermonde', 'Aalst', 'Lebbeke']",2024-09-27,https://www.vrt.be/vrtnws/nl/2024/09/27/wateroverlast-dendervallei-masterplan-maatregelen-dendermonde-aa/
Baggerwerken gestart aan Lokanaal in Veurne na grote overstromingen van vorig jaar,"De voorbije maanden zijn al heel wat voorbereidingen gebeurd voor de baggerwerken in het Lo-kanaal Vandaag zijn die werken dan ook effectief van start kunnen gaan De bedoeling is om het water van het Lo-kanaal sneller te kunnen afvoeren ""De baggerwerken gebeuren van op een drijvend ponton op het water"" zegt Geert Weymeis van de Vlaamse Waterweg ""Daar staan dan kranen op die het overtollige slib bovenhalen en dumpen in bulkschepen die het op hun beurt dan afvoeren Het slib wordt later gebruikt in de bouwsector"" ""Naar schatting moet 60000 kubieke meter slib worden gebaggerd Het 14 kilometer lange Lo-kanaal zal na de werken een vaargeul van gemiddeld 6 meter breed en 220 meter diep hebben nu is dat nog 160 meter De schepen gaan dus beter kunnen passeren in de Westhoek"" Foto Vlaamse Waterweg Naast de baggerwerken op de Lovaart is de Vlaamse Waterweg ook gestart met de ondieptes van de IJzer en het kanaal Nieuwpoort-Duinkerke weg te werken Dat doen ze op basis van recente peilgegevens die verzameld zijn bij alle waterwegen De eerste fase van de baggerwerken op het Lokanaal kosten 725 miljoen euro In de toekomst staan ook de andere kanalen in de Westhoek op de planning Daarvoor zijn al voorbereidende studies opgestart ",Veurne,2024-09-25,https://www.vrt.be/vrtnws/nl/2024/09/25/baggerwerken-gestart-aan-lo-kanaal-in-veurne-die-zijn-nodig-na/
Overstromingsgebied 'Grote Weide' moet centrum van Halle beschermen tegen wateroverlast,"""In eerste instantie ben ik supertevreden"" zegt schepen Johan Servé Vooruit ""want ik ben intussen 12 jaar schepen van openbare werken in Halle en dat is al een project dat al 12 jaar aansleept En dat project gaat ons toelaten om nog minder wateroverlast in onze binnenstad te krijgen De Groebengracht loopt regelmatig over in de Victor Baetensstraat de Poststraat en een stukje van de Bergensesteenweg"" ""We hebben er al een bufferbekken tussengestoken maar nu gaat de Groebengracht eigenlijk open op de Grote Weide Dat gaat daar 1 grote plas worden als het hard regent waar ook nu al de broedplaats is voor watervogels We gaan daar een klein natuurreservaatje aanleggen met een vondelpad en een uitkijktoren voor de mensen steeds met respect voor de dieren die er zijn"" vervolgt de schepen De werken kosten in totaal bijna 19 miljoen euro De provincie neemt bijna 1 miljoen euro voor haar rekening de rest betaalt de stad Halle Voor dit project komen er ook Europese subsidies vvia het LIFE-IP Belini-project Vlaamse subsidies via het Levend Water-programma van de Vlaamse Milieumaatschappij en via het Groene Rand-programma van het Agentschap Natuur en Bos De werken zijn gepland voor 2025 ",Halle,2024-09-24,https://www.vrt.be/vrtnws/nl/2024/09/24/overstromingsgebied-grote-weide-moet-centrum-van-halle-bescher/
Nieuw overstromingsgebied aan Hoezebeek in Aalst is klaar en moet overtollig regenwater afvoeren naar groot kasteeldomein,De Provincie Oost-Vlaanderen Natuurpunt en de Stad Aalst werkten samen met de kasteelheer van het Kasteel van Schotte om het nieuwe overstromingsgebied aan te leggen Het kasteel ligt aan de Hoezebeek Die loopt via buizen onder het centrum van Aalst over een afstand van 2 kilometer Maar bij hevige regen veroorzaakte dat overstromingen omdat er te veel druk op het rioleringssysteem kwam te staan Door het nieuwe overstromingsgebied kan overtollig regenwater nu afgevoerd worden naar de achtertuin van het Kasteel van Schotte Daar kan het zonder problemen opgeslagen worden En zo moet de stad er geen landbouwgronden voor gebruiken Kleine sluis aan de beek Het nieuwe overstromingsgebied is 5000 kubieke meter groot goed om 5 miljoen liter water op te vangen Op de Hoezebeek is ook een schuifconstructie geplaatst Het is een soort kleine sluis die open of dicht gezet kan worden afhankelijk van de waterstand Via een app kunnen de beheerders het waterpeil in de gaten houden en bij te veel of te weinig water de sluis open of dicht zetten Foto Provincie Oost-Vlaanderen ,Aalst,2024-09-23,https://www.vrt.be/vrtnws/nl/2024/09/23/overstroming-wateroverlast-aalst-nieuwerkerken-hoezebeek/
"Kunnen onze dammen en dijken zo'n waterbom als in Centraal-Europa aan? ""Onze infrastructuur aanpassen aan nieuwe klimaatnormaal""","""De hoeveelheden neerslag die nu in Oost-Europa vallen zijn wel heel uitzonderlijk"" zegt hydroloog Patrick Willems KULeuven in Terzake ""Sommige streken hebben 300 400 liter neerslag gehad Het is ook uitzonderlijk dat zon uitgestrekt gebied getroffen is"" ""Na een winter en lente vol neerslag was de grond er verzadigd De neerslag van de voorbije dagen is van de bovenstroomse gebieden naar de riviervalleien gestroomd Die kunnen dat niet allemaal verwerken en dan treden rivieren buiten hun oevers"" Kan ook bij ons Zoiets kan ook bij ons gebeuren ""In juli 2021 kreeg de Vesder-vallei in Wallonië op het meest kritieke punt 270 millimeter water te verwerken Dat is een vergelijkbaar cijfer als nu in Centraal- en Oost-Europa red"" ""Als die neerslag boven Vlaanderen was gevallen en over een uitgestrekter gebied zouden we 8 miljard euro schade hebben geleden en 80000 huizen zouden overstroomd zijn Dan zouden we hier gelijkaardige taferelen hebben gezien"" Bekijk Een waterbom zou in Vlaanderen tot 8 miljard euro schade kunnen veroorzaken zegt hydroloog Patrick Willems KULeuven Videospeler inladen Steden zoals Denderleeuw Ninove Dendermonde Rotselaar Deinze en Antwerpen-stad lopen het grootste risico en dat zelfs zonder een dambreuk Dat blijkt uit de Vlaamse overstromingskaarten die Jelle Van den Berghe van het Instituut voor Natuur- en Bosonderzoek vandaag nog eens bovenhaalde op X Een puntje van nuance in Centraal-Europa regent het nu al veel langer dan bij ons in 2021 en dat komt door een geblokkeerd lagedrukgebied ""Bij ons wordt een lagedrukgebied meestal vrij snel weer vooruit gestuwd door de straalstroom"" legt weerman Bram Verbruggen uit ""De kans dat een lagedrukgebied zoveel dagen na elkaar blijft liggen is bij ons toch wel heel erg klein"" Maar we hebben dus wel al eens een waterbom over ons heen gekregen en in een opwarmend klimaat stijgt de kans erop Wat kunnen we dan doen om de impact zo klein mogelijk te houden Maak een noodplan op ""In tijden van nood heb je vooral zeer goede plannen nodig"" zegt Inne Vanderkelen expert waterbeheer en klimaatwetenschapper aan de KULeuven en het KMI in De wereld vandaag op Radio 1 ""Daarin moet staan welke voorbereidingen je moet treffen als er extreme regenval voorspeld wordt"" ""Het gaat dan om het dambeheer dat aangepast moet worden de waarschuwingen die je stuurt naar de bewoners en tijdig evacueren Dat is zeer belangrijk"" Pas bestaande dammen aan aan het nieuwe normaal ""Maar daarnaast moet je ook structureel aanpassingen doen en nagaan of je bestaande infrastructuur nog opgewassen is tegen extreme regenval"" vervolgt Vanderkelen ""Toen de extreme neerslag van de voorbije dagen voorspeld werd werden in Oostenrijk sommige dammen vooraf al open gezet om meer opvangcapaciteit te creëren"" Maar dat volstond niet ""De waterhoeveelheid was zo groot dat de situatie kritiek werd"" Beluister Inne Vanderkelen expert waterbeheer aan de KULeuven en het KMI legt uit hoe de Oostenrijkse dammen het water niet meer konden slikken Welke rol kunnen dammen spelen bij extreme regenval en moeten we ze in de toekomst groter en sterker maken ""Dammen worden gebouwd om een overstromingspeil te doorstaan dat 1 keer om de 100 of de 500 jaar voorkomt Maar we krijgen nu zon extreem weer dat die dammen daar niet meer tegen opgewassen zijn"" In Polen Oostenrijk en Tsjechië overstroomden er dammen of braken ze door Het gaat om dammen van verschillende grootten en met verschillende doelen zoals wateropslag of energieopwekking De realiteit waarin de dammen destijds gebouwd werden is niet meer die van vandaag ""Dit is het nieuwe normaal De klimaatverandering duwt ons tegen onze limieten aan We moeten er rekening mee houden dat de extreme overstromingsscenarios in de toekomst zullen veranderen"" In het Poolse dorpje Stronie Śląskie brak zondag de dam op de Biała Lądecka-rivier Het volledige dorp werd onder water gezet en verschillende huizen spoelden weg Geef rivieren plaats om te overstromen Maar met alleen hogere dammen en bredere dijken zullen we er niet komen ""Nee nee We moeten kijken naar natuurgebaseerde oplossingen en rivieren de plaats geven om te overstromen"" zegt Vanderkelen Daar is Patrick Willems hydroloog aan de KULeuven het mee eens ""Kijk naar de gebieden die nu onder water staan in Oost-Europa Dat zijn riviervalleien die van nature overstromen Vroeger trad de rivier daar af en toe buiten zijn oevers Intussen is daar gebouwd en het is die bebouwing die nu schade veroorzaakt"" Foto VRT Pano Waarom blijven we bouwen in overstromingsgevoelig gebied Pano steekt zijn licht op in de Denderstreek di 12 mrt 1700 ""Het beste dat je kan doen is die riviervalleien onbebouwd laten Maar de realiteit is dat er in het verleden op heel veel plaatsen gebouwd is ook bij ons En we kunnen natuurlijk niet zomaar hele wijken verplaatsen"" ""De meest efficiënte oplossing is dan om op die plaatsen waar er nog veel ruimte is langs riviervalleien de natuur te herstellen en opnieuw overstroombaar te maken Zo creëer je buffercapaciteit ontlast je stroomafwaarts gelegen dorpen en steden en verminder je overstromingsrisicos"" Dat doet Vlaanderen onder meer met het Sigmaplan en de Blue Deal Natte natuur herstellen en rivieren weer ruimte geven om te kronkelen is ook een van de pijlers van de Europese natuurherstelwet De Vlaamse overheid treedt de laatste jaren ook strenger op tegen bouwen in overstromingsgevoelig gebied Toch blijven sommige burgemeesters bouwvergunningen uitreiken bijvoorbeeld in Affligem Creëer buffers Maar je kan ook verder stroomopwaarts al meer doen om het water langer vast te houden zodat de rivieren meer tijd krijgen om al dat water te slikken ""Dat kan met wachtbekkens maar ook met natuurlijke manieren zoals vegetatiestroken houtkanten of lager gelegen zones die water vasthouden"" zegt Willems ""Dat zijn remmende factoren in het landschap waardoor het water minder snel terechtkomt in de rivieren"" ""Dat is trouwens ook goed tegen eventuele droogte Daar gaan we door de klimaatverandering ook vaker mee te maken krijgen"" Durf te investeren Het gaat dus om heel wat verschillende ingrepen op verschillende plekken Goedkoop is dat niet ""Dat zal sowieso veel geld kosten"" beaamt Willems ""Anderzijds veroorzaakt een overstroming zoals in Oost-Europa ook enorm veel schade En ook die moet ergens betaald worden bijvoorbeeld door een rampenfonds Dat is geld dat de overheid uitkeert Het lijkt me dan veel verstandiger om dat geld op voorhand te investeren zodat mensen geen schade lijden"" ""Maar goed dat vraagt een kosten-batenafweging Je moet berekenen hoeveel schade je kan oplopen en tot op welk niveau we mensen willen beschermen De risicos zijn al grotendeels berekend We weten ook wat er in de toekomst op ons afkomt door de klimaatverandering"" ""Dat moet dan leiden tot een actieprogramma met een duidelijke timing afspraken over hoeveel geld het mag kosten en een langetermijnplan"" Kijk voorbij de eigen grenzen Maar we hebben niet alles zelf in de hand Toen de Dender in januari overstroomde kwam het water uit Wallonië merkt Willems op En in november 2023 was het Noord-Frans water dat de Westhoek blank zette Water dat stroomafwaarts stroomt heeft geen benul van regios grenzen of landen Er is dus ook internationale samenwerking nodig Dat is niet eenvoudig Zelfs in ons eigen land coördineren de gewesten hun aanpak niet altijd Zo stelde de redactie van Pano in maart nog vast dat Wallonië zijn sluizen op de Dender gemoderniseerd heeft terwijl Vlaanderen ver achterblijft ""Een groot deel van de maatregelen moet stroomopwaarts genomen worden"" zegt Willems ""Dat vraagt meer grensoverschrijdende samenwerking Er wordt meer en meer overlegd zeker op momenten zoals vandaag maar over het algemeen is de samenwerking nog ondermaats Landen beheren alleen hun eigen grondgebied"" ","['Denderleeuw', 'Ninove', 'Dendermonde', 'Rotselaar', 'Deinze', 'Affligem', 'Westhoek', 'Landen']",2024-09-16,https://www.vrt.be/vrtnws/nl/2024/09/16/kunnen-onze-dammen-en-dijken-zo-n-waterbom-als-in-oost-europa-aa/
